mode,view,threads,run,serial_ms,thread_ms
cyclic,1,2,1,479.896,247.120
cyclic,1,2,2,479.306,245.791
cyclic,1,2,3,476.468,244.231
cyclic,1,2,4,477.080,259.635
cyclic,1,2,5,482.893,248.379
cyclic,1,3,1,475.140,166.786
cyclic,1,3,2,472.438,165.712
cyclic,1,3,3,474.526,166.939
cyclic,1,3,4,473.016,166.533
cyclic,1,3,5,473.054,166.565
cyclic,1,4,1,466.287,129.242
cyclic,1,4,2,473.297,128.085
cyclic,1,4,3,475.644,129.970
cyclic,1,4,4,472.417,127.960
cyclic,1,4,5,473.192,129.188
cyclic,1,5,1,467.909,107.749
cyclic,1,5,2,471.545,108.113
cyclic,1,5,3,466.827,108.618
cyclic,1,5,4,466.878,107.500
cyclic,1,5,5,471.334,107.466
cyclic,1,6,1,469.187,90.223
cyclic,1,6,2,472.342,90.152
cyclic,1,6,3,470.309,90.133
cyclic,1,6,4,468.859,90.160
cyclic,1,6,5,469.362,89.962
cyclic,1,7,1,474.612,77.442
cyclic,1,7,2,467.243,77.424
cyclic,1,7,3,469.081,77.278
cyclic,1,7,4,472.978,77.443
cyclic,1,7,5,468.336,77.594
cyclic,1,8,1,474.786,92.069
cyclic,1,8,2,468.466,86.399
cyclic,1,8,3,470.399,89.525
cyclic,1,8,4,474.054,87.558
cyclic,1,8,5,473.265,89.811
cyclic,1,16,1,469.947,76.654
cyclic,1,16,2,473.781,76.831
cyclic,1,16,3,471.133,82.585
cyclic,1,16,4,475.410,79.101
cyclic,1,16,5,476.245,79.877
cyclic,2,2,1,276.352,143.401
cyclic,2,2,2,278.676,144.023
cyclic,2,2,3,274.253,142.846
cyclic,2,2,4,279.159,143.682
cyclic,2,2,5,275.951,142.911
cyclic,2,3,1,276.047,98.124
cyclic,2,3,2,273.632,97.807
cyclic,2,3,3,277.634,98.639
cyclic,2,3,4,278.542,97.928
cyclic,2,3,5,278.166,98.005
cyclic,2,4,1,280.495,77.077
cyclic,2,4,2,276.149,76.652
cyclic,2,4,3,278.276,76.424
cyclic,2,4,4,275.482,77.892
cyclic,2,4,5,279.078,76.322
cyclic,2,5,1,276.732,64.901
cyclic,2,5,2,278.861,64.436
cyclic,2,5,3,280.407,64.586
cyclic,2,5,4,276.362,64.800
cyclic,2,5,5,276.104,64.813
cyclic,2,6,1,279.017,54.089
cyclic,2,6,2,275.431,54.004
cyclic,2,6,3,275.278,54.083
cyclic,2,6,4,279.600,54.032
cyclic,2,6,5,278.500,54.216
cyclic,2,7,1,279.327,46.658
cyclic,2,7,2,276.242,46.662
cyclic,2,7,3,279.575,46.516
cyclic,2,7,4,280.327,46.521
cyclic,2,7,5,278.592,46.587
cyclic,2,8,1,278.491,50.742
cyclic,2,8,2,276.597,53.725
