mode,view,threads,run,serial_ms,thread_ms
cyclic,1,2,1,460.719,240.829
cyclic,1,2,2,462.957,237.267
cyclic,1,2,3,452.187,237.254
cyclic,1,2,4,452.060,241.455
cyclic,1,2,5,448.071,237.285
cyclic,1,3,1,448.734,162.757
cyclic,1,3,2,451.027,166.990
cyclic,1,3,3,450.337,161.303
cyclic,1,3,4,451.349,162.423
cyclic,1,3,5,447.500,177.232
cyclic,1,4,1,449.651,124.428
cyclic,1,4,2,449.650,124.382
cyclic,1,4,3,448.849,124.252
cyclic,1,4,4,448.732,124.285
cyclic,1,4,5,449.480,124.435
cyclic,1,5,1,448.533,107.022
cyclic,1,5,2,448.666,106.954
cyclic,1,5,3,447.445,106.670
cyclic,1,5,4,448.612,106.978
cyclic,1,5,5,447.186,106.955
cyclic,1,6,1,447.401,89.495
cyclic,1,6,2,448.916,89.565
cyclic,1,6,3,447.078,89.607
cyclic,1,6,4,448.530,89.511
cyclic,1,6,5,448.923,89.520
cyclic,1,7,1,447.810,76.999
cyclic,1,7,2,447.984,76.963
cyclic,1,7,3,448.677,76.944
cyclic,1,7,4,453.420,76.977
cyclic,1,7,5,448.844,77.053
cyclic,1,8,1,450.511,67.733
cyclic,1,8,2,450.038,67.428
cyclic,1,8,3,448.684,67.482
cyclic,1,8,4,449.916,67.382
cyclic,1,8,5,448.634,67.373
cyclic,1,16,1,448.263,75.146
cyclic,1,16,2,449.058,77.008
cyclic,1,16,3,448.525,72.469
cyclic,1,16,4,448.200,70.809
cyclic,1,16,5,448.261,72.159
cyclic,2,2,1,263.937,140.189
cyclic,2,2,2,262.913,142.156
cyclic,2,2,3,264.762,142.243
cyclic,2,2,4,264.256,143.093
cyclic,2,2,5,264.546,142.525
cyclic,2,3,1,263.895,96.664
cyclic,2,3,2,264.414,95.286
cyclic,2,3,3,264.733,95.323
cyclic,2,3,4,264.722,96.014
cyclic,2,3,5,265.598,95.935
cyclic,2,4,1,264.204,73.332
cyclic,2,4,2,264.367,73.430
cyclic,2,4,3,264.700,73.379
cyclic,2,4,4,264.130,73.426
cyclic,2,4,5,262.897,73.397
cyclic,2,5,1,263.734,63.882
cyclic,2,5,2,264.910,64.060
cyclic,2,5,3,265.921,63.737
cyclic,2,5,4,263.954,63.912
cyclic,2,5,5,265.075,64.074
cyclic,2,6,1,263.800,53.751
cyclic,2,6,2,265.120,53.773
cyclic,2,6,3,263.457,53.639
cyclic,2,6,4,264.009,53.720
cyclic,2,6,5,263.844,53.767
cyclic,2,7,1,264.588,46.292
cyclic,2,7,2,263.719,46.281
cyclic,2,7,3,264.887,46.201
cyclic,2,7,4,265.064,46.298
cyclic,2,7,5,264.543,46.241
cyclic,2,8,1,264.825,40.553
cyclic,2,8,2,264.902,40.522
cyclic,2,8,3,264.189,40.584
cyclic,2,8,4,264.623,40.555
cyclic,2,8,5,265.451,40.554
cyclic,2,16,1,264.719,43.575
cyclic,2,16,2,263.862,42.498
cyclic,2,16,3,263.677,44.131
cyclic,2,16,4,265.363,46.103
cyclic,2,16,5,265.716,43.330
