mode,view,threads,runs,serial_min_ms,thread_min_ms,thread_max_ms,spread_pct,speedup
cyclic,1,2,5,476.468,244.231,259.635,6.3,1.95
cyclic,1,3,5,472.438,165.712,166.939,0.7,2.85
cyclic,1,4,5,466.287,127.960,129.970,1.6,3.64
cyclic,1,5,5,466.827,107.466,108.618,1.1,4.34
cyclic,1,6,5,468.859,89.962,90.223,0.3,5.21
cyclic,1,7,5,467.243,77.278,77.594,0.4,6.05
cyclic,1,8,5,468.466,86.399,92.069,6.6,5.42
cyclic,1,16,5,469.947,76.654,82.585,7.7,6.13
cyclic,2,2,5,274.253,142.846,144.023,0.8,1.92
cyclic,2,3,5,273.632,97.807,98.639,0.9,2.80
cyclic,2,4,5,275.482,76.322,77.892,2.1,3.61
cyclic,2,5,5,276.104,64.436,64.901,0.7,4.28
cyclic,2,6,5,275.278,54.004,54.216,0.4,5.10
cyclic,2,7,5,276.242,46.516,46.662,0.3,5.94
cyclic,2,8,5,275.462,49.667,53.725,8.2,5.55
cyclic,2,16,5,276.379,45.577,48.646,6.7,6.06
block,1,2,5,467.762,243.797,246.419,1.1,1.92
block,1,3,5,466.767,288.797,293.344,1.6,1.62
block,1,4,5,468.043,198.410,201.780,1.7,2.36
block,1,5,5,467.310,194.412,197.151,1.4,2.40
block,1,6,5,470.877,151.944,153.820,1.2,3.10
block,1,7,5,469.359,144.400,147.183,1.9,3.25
block,1,8,5,471.397,124.331,125.785,1.2,3.79
block,1,16,5,468.628,80.088,95.455,19.2,5.85
block,2,2,5,275.533,166.452,170.066,2.2,1.66
block,2,3,5,273.940,129.302,131.059,1.4,2.12
block,2,4,5,275.459,109.890,110.770,0.8,2.51
block,2,5,5,275.139,98.715,99.046,0.3,2.79
block,2,6,5,275.970,84.791,87.510,3.2,3.25
block,2,7,5,273.459,77.708,78.195,0.6,3.52
block,2,8,5,277.262,69.871,70.525,0.9,3.97
block,2,16,5,277.499,46.698,49.386,5.8,5.94
