mode,view,threads,runs,serial_min_ms,thread_min_ms,thread_max_ms,spread_pct,speedup
cyclic,1,2,5,448.071,237.254,241.455,1.8,1.89
cyclic,1,3,5,447.500,161.303,177.232,9.9,2.77
cyclic,1,4,5,448.732,124.252,124.435,0.1,3.61
cyclic,1,5,5,447.186,106.670,107.022,0.3,4.19
cyclic,1,6,5,447.078,89.495,89.607,0.1,5.00
cyclic,1,7,5,447.810,76.944,77.053,0.1,5.82
cyclic,1,8,5,448.634,67.373,67.733,0.5,6.66
cyclic,1,16,5,448.200,70.809,77.008,8.8,6.33
cyclic,2,2,5,262.913,140.189,143.093,2.1,1.88
cyclic,2,3,5,263.895,95.286,96.664,1.4,2.77
cyclic,2,4,5,262.897,73.332,73.430,0.1,3.59
cyclic,2,5,5,263.734,63.737,64.074,0.5,4.14
cyclic,2,6,5,263.457,53.639,53.773,0.2,4.91
cyclic,2,7,5,263.719,46.201,46.298,0.2,5.71
cyclic,2,8,5,264.189,40.522,40.584,0.2,6.52
cyclic,2,16,5,263.677,42.498,46.103,8.5,6.20
