tasks,view,run,serial_ms,ispc_ms,tasks_ms
2,1,1,237.207,46.705,24.844
2,1,2,248.607,47.237,25.681
2,1,3,247.485,50.305,25.366
2,1,4,244.288,46.400,24.871
2,1,5,252.906,48.396,26.261
2,2,1,155.422,35.424,22.625
2,2,2,138.539,31.373,20.705
2,2,3,141.603,31.293,20.243
2,2,4,145.422,33.929,21.205
2,2,5,148.892,33.233,20.509
4,1,1,258.333,54.535,22.145
4,1,2,277.907,55.801,19.697
4,1,3,237.705,50.499,21.502
4,1,4,267.101,53.514,22.945
4,1,5,270.515,51.209,20.614
4,2,1,151.909,35.527,14.279
4,2,2,144.148,34.601,13.278
4,2,3,144.025,33.260,13.503
4,2,4,144.644,33.081,13.412
4,2,5,149.773,33.554,15.354
8,1,1,251.991,49.588,13.356
8,1,2,249.383,49.627,13.395
8,1,3,251.786,49.582,13.076
8,1,4,245.182,48.557,14.007
8,1,5,231.305,45.945,12.577
8,2,1,145.292,34.964,8.999
8,2,2,146.749,36.792,8.992
8,2,3,146.708,33.538,8.687
8,2,4,146.181,37.221,12.199
8,2,5,153.773,35.941,10.024
16,1,1,268.518,49.516,7.985
16,1,2,255.801,54.270,11.126
16,1,3,264.528,49.766,8.597
16,1,4,234.611,52.741,10.116
16,1,5,253.047,49.921,8.764
16,2,1,147.264,34.504,7.562
16,2,2,156.761,35.693,7.160
16,2,3,159.331,33.685,7.763
16,2,4,148.580,34.928,7.766
16,2,5,141.701,36.262,7.475
32,1,1,234.050,47.668,7.949
32,1,2,237.807,47.907,7.993
32,1,3,232.913,45.927,7.982
32,1,4,234.694,49.880,9.376
32,1,5,256.927,49.861,8.036
32,2,1,141.657,34.337,6.236
32,2,2,157.795,37.039,7.554
32,2,3,153.022,37.864,6.795
32,2,4,150.742,38.175,7.593
32,2,5,147.362,35.890,6.886
64,1,1,265.087,56.224,9.443
64,1,2,262.794,53.678,9.371
64,1,3,250.236,53.110,10.564
64,1,4,262.685,51.009,11.615
64,1,5,250.345,49.995,8.266
64,2,1,155.694,35.814,6.838
64,2,2,150.943,34.875,5.983
64,2,3,152.568,35.000,5.970
64,2,4,146.905,35.671,7.538
64,2,5,150.788,34.417,5.813
100,1,1,244.420,45.439,7.641
100,1,2,242.342,46.005,7.500
100,1,3,232.272,47.377,7.578
100,1,4,233.690,45.575,8.126
100,1,5,235.198,46.345,7.514
100,2,1,137.287,31.928,5.612
100,2,2,136.543,31.386,5.611
100,2,3,134.847,31.786,5.606
100,2,4,138.953,31.518,5.648
100,2,5,135.023,31.544,5.607
128,1,1,272.304,55.183,8.213
128,1,2,235.402,48.076,8.698
128,1,3,255.128,45.882,7.704
128,1,4,232.499,46.209,7.726
128,1,5,234.529,45.968,7.700
128,2,1,140.114,32.159,5.682
128,2,2,137.063,32.232,5.672
128,2,3,137.588,32.337,5.622
128,2,4,137.870,32.000,5.603
128,2,5,140.272,33.274,5.674
200,1,1,236.001,48.761,7.799
200,1,2,229.587,44.687,7.568
200,1,3,235.784,45.880,8.445
200,1,4,232.814,46.392,7.497
200,1,5,235.799,45.167,8.005
200,2,1,136.891,31.694,5.525
200,2,2,138.092,31.828,5.442
200,2,3,137.597,31.889,5.529
200,2,4,135.004,31.017,5.458
200,2,5,142.223,33.307,5.488
256,1,1,229.287,44.338,7.806
256,1,2,228.791,45.273,7.639
256,1,3,230.766,45.227,7.637
256,1,4,234.536,47.914,8.326
256,1,5,238.964,46.016,7.559
256,2,1,135.693,31.779,5.462
256,2,2,136.574,31.683,5.508
256,2,3,136.621,31.224,5.511
256,2,4,144.171,32.301,5.709
256,2,5,140.295,31.865,5.429
400,1,1,233.813,46.064,7.569
400,1,2,228.619,50.080,8.572
400,1,3,235.202,46.034,7.931
400,1,4,259.712,47.355,7.726
400,1,5,231.756,54.679,8.673
400,2,1,146.098,33.858,5.420
400,2,2,145.345,35.070,6.073
400,2,3,137.561,31.365,5.361
400,2,4,137.697,31.239,5.416
400,2,5,139.785,34.894,5.791
800,1,1,254.952,48.457,7.588
800,1,2,233.538,49.693,9.282
800,1,3,248.281,47.876,7.513
800,1,4,236.315,45.107,7.598
800,1,5,231.412,45.834,7.642
800,2,1,137.625,31.713,5.360
800,2,2,138.186,31.464,5.350
800,2,3,135.427,31.492,5.338
800,2,4,136.602,32.337,5.358
800,2,5,137.332,33.089,6.198
