tasks,view,run,serial_ms,ispc_ms,tasks_ms
2,1,1,238.403,44.555,24.177
2,1,2,226.947,46.944,23.809
2,1,3,229.885,44.978,23.968
2,1,4,225.486,46.099,24.155
2,1,5,225.702,45.032,23.624
2,2,1,133.504,30.667,19.835
2,2,2,134.060,30.604,19.702
2,2,3,134.950,30.964,20.006
2,2,4,134.134,31.171,19.728
2,2,5,134.805,31.038,19.266
8,1,1,237.921,44.889,12.887
8,1,2,229.839,47.195,13.486
8,1,3,229.444,45.181,13.327
8,1,4,226.203,44.434,13.287
8,1,5,225.065,44.683,13.128
8,2,1,133.639,31.217,8.605
8,2,2,133.794,31.055,8.509
8,2,3,132.772,30.935,8.745
8,2,4,133.487,30.995,8.439
8,2,5,133.657,30.929,8.890
16,1,1,236.124,45.596,7.955
16,1,2,226.123,45.748,8.094
16,1,3,235.146,45.108,7.975
16,1,4,225.418,44.626,8.059
16,1,5,225.918,45.540,7.930
16,2,1,135.886,31.133,7.054
16,2,2,133.988,31.382,7.318
16,2,3,133.789,31.549,7.222
16,2,4,134.572,30.890,7.141
16,2,5,133.965,31.403,7.319
32,1,1,233.864,44.614,7.994
32,1,2,227.742,45.275,8.111
32,1,3,232.196,44.592,7.931
32,1,4,227.517,44.626,8.001
32,1,5,226.269,44.818,7.942
32,2,1,132.451,31.256,6.254
32,2,2,134.017,30.904,6.200
32,2,3,134.343,31.153,6.234
32,2,4,133.749,31.059,6.204
32,2,5,134.033,31.055,6.175
64,1,1,231.384,47.172,8.316
64,1,2,229.620,45.376,7.860
64,1,3,234.694,45.886,7.600
64,1,4,227.092,45.147,7.599
64,1,5,226.568,44.554,7.598
64,2,1,133.878,31.084,5.736
64,2,2,136.140,30.988,5.853
64,2,3,133.576,31.042,5.817
64,2,4,134.225,31.269,5.794
64,2,5,134.686,31.156,5.888
100,1,1,230.764,46.716,8.112
100,1,2,232.086,46.588,7.989
100,1,3,231.380,44.505,7.607
100,1,4,225.349,45.047,7.592
100,1,5,228.582,44.919,7.552
100,2,1,133.762,31.560,5.615
100,2,2,134.651,30.981,5.612
100,2,3,134.516,31.211,5.620
100,2,4,135.142,31.065,5.617
100,2,5,134.423,31.416,5.606
200,1,1,231.876,46.554,7.658
200,1,2,232.064,46.626,7.593
200,1,3,229.189,45.426,7.575
200,1,4,226.732,45.329,7.615
200,1,5,228.197,44.262,7.629
200,2,1,133.861,31.434,5.459
200,2,2,134.720,31.254,5.531
200,2,3,134.608,31.131,5.509
200,2,4,133.396,30.894,5.447
200,2,5,133.379,31.450,5.436
400,1,1,230.661,46.687,8.133
400,1,2,228.446,45.800,7.703
400,1,3,232.062,45.405,7.571
400,1,4,225.214,44.731,7.613
400,1,5,225.778,45.004,7.587
400,2,1,134.969,31.123,5.470
400,2,2,132.956,31.500,5.424
400,2,3,134.699,31.189,5.499
400,2,4,135.370,31.049,5.440
400,2,5,134.116,31.488,5.383
800,1,1,235.480,44.815,7.627
800,1,2,229.319,46.460,7.581
800,1,3,232.724,45.102,7.714
800,1,4,225.522,44.955,7.650
800,1,5,226.495,44.386,7.636
800,2,1,134.756,31.017,5.342
800,2,2,133.091,30.944,5.439
800,2,3,134.444,31.314,5.378
800,2,4,133.649,30.936,5.385
800,2,5,135.436,30.992,5.331
