tasks,view,runs,serial_min_ms,ispc_min_ms,tasks_min_ms,tasks_max_ms,spread_pct,ispc_speedup,task_speedup
2,1,5,237.207,46.400,24.844,26.261,5.7,5.11,9.55
4,1,5,237.705,50.499,19.697,22.945,16.5,4.71,12.07
8,1,5,231.305,45.945,12.577,14.007,11.4,5.03,18.39
16,1,5,234.611,49.516,7.985,11.126,39.3,4.74,29.38
32,1,5,232.913,45.927,7.949,9.376,18.0,5.07,29.30
64,1,5,250.236,49.995,8.266,11.615,40.5,5.01,30.27
100,1,5,232.272,45.439,7.500,8.126,8.3,5.11,30.97
128,1,5,232.499,45.882,7.700,8.698,13.0,5.07,30.19
200,1,5,229.587,44.687,7.497,8.445,12.6,5.14,30.62
256,1,5,228.791,44.338,7.559,8.326,10.1,5.16,30.27
400,1,5,228.619,46.034,7.569,8.673,14.6,4.97,30.20
800,1,5,231.412,45.107,7.513,9.282,23.5,5.13,30.80
2,2,5,138.539,31.293,20.243,22.625,11.8,4.43,6.84
4,2,5,144.025,33.081,13.278,15.354,15.6,4.35,10.85
8,2,5,145.292,33.538,8.687,12.199,40.4,4.33,16.73
16,2,5,141.701,33.685,7.160,7.766,8.5,4.21,19.79
32,2,5,141.657,34.337,6.236,7.593,21.8,4.13,22.72
64,2,5,146.905,34.417,5.813,7.538,29.7,4.27,25.27
100,2,5,134.847,31.386,5.606,5.648,0.7,4.30,24.05
128,2,5,137.063,32.000,5.603,5.682,1.4,4.28,24.46
200,2,5,135.004,31.017,5.442,5.529,1.6,4.35,24.81
256,2,5,135.693,31.224,5.429,5.709,5.2,4.35,24.99
400,2,5,137.561,31.239,5.361,6.073,13.3,4.40,25.66
800,2,5,135.427,31.464,5.338,6.198,16.1,4.30,25.37
