tasks,view,runs,serial_min_ms,ispc_min_ms,tasks_min_ms,tasks_max_ms,spread_pct,ispc_speedup,task_speedup
2,1,5,225.486,44.555,23.624,24.177,2.3,5.06,9.54
8,1,5,225.065,44.434,12.887,13.486,4.6,5.07,17.46
16,1,5,225.418,44.626,7.930,8.094,2.1,5.05,28.43
32,1,5,226.269,44.592,7.931,8.111,2.3,5.07,28.53
64,1,5,226.568,44.554,7.598,8.316,9.4,5.09,29.82
100,1,5,225.349,44.505,7.552,8.112,7.4,5.06,29.84
200,1,5,226.732,44.262,7.575,7.658,1.1,5.12,29.93
400,1,5,225.214,44.731,7.571,8.133,7.4,5.03,29.75
800,1,5,225.522,44.386,7.581,7.714,1.8,5.08,29.75
2,2,5,133.504,30.604,19.266,20.006,3.8,4.36,6.93
8,2,5,132.772,30.929,8.439,8.890,5.3,4.29,15.73
16,2,5,133.789,30.890,7.054,7.319,3.8,4.33,18.97
32,2,5,132.451,30.904,6.175,6.254,1.3,4.29,21.45
64,2,5,133.576,30.988,5.736,5.888,2.6,4.31,23.29
100,2,5,133.762,30.981,5.606,5.620,0.2,4.32,23.86
200,2,5,133.379,30.894,5.436,5.531,1.7,4.32,24.54
400,2,5,132.956,31.049,5.383,5.499,2.2,4.28,24.70
800,2,5,133.091,30.936,5.331,5.439,2.0,4.30,24.97
