mode,run,serial_ms,ispc_ms,task_ms,avx2_ms
random,1,787.659,178.393,28.472,142.287
random,2,793.629,178.261,29.193,141.704
random,3,797.141,180.014,29.077,142.351
random,4,791.216,178.657,29.123,142.225
random,5,798.832,179.964,28.671,144.315
best,1,2010.478,309.880,57.387,228.977
best,2,2015.736,310.294,51.934,228.478
best,3,2007.525,309.558,51.939,228.108
best,4,2014.124,308.691,55.432,227.600
best,5,2014.024,311.339,54.472,227.962
worst,1,292.188,311.476,52.971,230.253
worst,2,278.905,317.963,57.734,235.651
worst,3,274.938,309.806,52.565,228.912
worst,4,288.071,320.148,55.578,229.212
worst,5,278.498,311.393,58.599,238.404
