variant,threads,ms,reported_gibs,traffic_floats,dram_gbs
serial,1,21.9020,13.6071,4,14.6105
ispc,1,17.6053,16.9280,4,18.1763
ispc_tasks,-1,19.1455,15.5662,4,16.7141
avx2_store,1,17.7337,16.8055,4,18.0448
avx2_store,2,18.7503,15.8943,4,17.0664
avx2_store,3,19.1102,15.5950,4,16.7450
avx2_store,4,19.0201,15.6688,4,16.8243
avx2_store,6,19.6677,15.1529,4,16.2703
avx2_store,8,19.7972,15.0538,4,16.1639
avx2_stream,1,13.8254,21.5562,3,17.3593
avx2_stream,2,14.8889,20.0165,3,16.1194
avx2_stream,3,14.6510,20.3414,3,16.3811
avx2_stream,4,14.5534,20.4780,3,16.4910
avx2_stream,6,15.0547,19.7961,3,15.9419
avx2_stream,8,15.1515,19.6695,3,15.8400
